track,speedup
normalize_5s_intro_WrDJMxSKlCA.wav,1.38
normalize_5s_intro_72T4j04MS8o.wav,0.94
normalize_5s_intro_Zh3uBgwow8A.wav,1.12
normalize_5s_intro_CXm7hPs_als.wav,1.2
normalize_5s_intro_AoB8koE95C0.wav,1.52
normalize_5s_intro_zumMQrI_tMg.wav,0.86
normalize_5s_intro_6MSYrN4YfKY.wav,1.02
normalize_5s_intro_19Q9l85Feqw.wav,1.16
normalize_5s_intro_TeH7sCVCMJk.wav,1.3
normalize_5s_intro_hMWoOunsMFM.wav,1.94
normalize_5s_intro_SubIr_Fyp4M.wav,1.14
normalize_5s_intro_hjIhCG_nIPA.wav,1
normalize_5s_intro_gwsaElRJI2M.wav,1.1
normalize_5s_intro_q_4no3KCrY4.wav,1
normalize_5s_intro_EVSuxb6Ywcg.wav,1.02
normalize_5s_intro_lEHM9HZf0IA.wav,1.2
normalize_5s_intro_3ObVN3QQiZ8.wav,1.252
normalize_5s_intro_j1c70vRHdhQ.wav,0.94
normalize_5s_intro_Jg9NbDizoPM.wav,1.28
normalize_5s_intro_YOKq1VmEbtc.wav,1.4
normalize_5s_intro_7pcZIsJNlAs.wav,1.24
normalize_5s_intro_VAc0xuVa7jI.wav,1.26
normalize_5s_intro_yBzk2xXE9yg.wav,1.04
normalize_5s_intro_thc1MtNagC8.wav,1.02
normalize_5s_intro_ZIiQ1jMqhVM.wav,1.78
normalize_5s_intro_w1G3rqVil1s.wav,1.18
normalize_5s_intro_YEq-cvq_cK4.wav,1.18
normalize_5s_intro_AjGkbFqi67c.wav,1.48
normalize_5s_intro_Oq1n8fUxQZc.wav,0.98
normalize_5s_intro_Ws-QlpSltr8.wav,1.16
normalize_5s_intro_ey4Fc9DP5Rw.wav,1.06
normalize_5s_intro_bI7xde9-3BI.wav,1.22
normalize_5s_intro_h-nnAeByB1A.wav,1.64
normalize_5s_intro_zEWSSod0zTY.wav,1.28
normalize_5s_intro_Wo2qUD1g7xM.wav,1.66
normalize_5s_intro_cUKD9tEeBp0.wav,1.32
normalize_5s_intro_uo6VU4euIbY.wav,1.3
normalize_5s_intro_Ng2JdroNfC0.wav,1.2
normalize_5s_intro_d6BzCEkGd3I.wav,1.32
normalize_5s_intro_68b_HImZAig.wav,1.36
normalize_5s_intro_PCp2iXA1uLE.wav,1.12
normalize_5s_intro_Stet_4bnclk.wav,1.78
normalize_5s_intro_IpniN1Wq68Y.wav,1.08
normalize_5s_intro_IYnu4-69fTA.wav,1.16
normalize_5s_intro_F64yFFnZfkI.wav,1.12
normalize_5s_intro_csHiDQXIggE.wav,1.36
normalize_5s_intro_Xhh3_-JRnDc.wav,1.26
normalize_5s_intro_2JL_KcEzkqg.wav,1.6
